TIME_PERIOD,Rwanda,Ethiopia,Senegal,Cameroon,Cabo Verde,Burundi,Djibouti,"Egypt, Arab Rep.",Sudan,Niger,Angola,Chad,Morocco,Guinea,Equatorial Guinea,Namibia,Lesotho,South Africa,Kenya,Tunisia,Tanzania,Mauritania,Togo,Malawi,Mozambique,Comoros,Mali,Zimbabwe,Uganda,Madagascar,Mauritius,Libya,Somalia,Eswatini,Central African Republic,Burkina Faso,Sao Tome and Principe,Gabon,"Gambia, The",Cote d'Ivoire,South Sudan,Ghana,Zambia,Algeria,Guinea-Bissau,Sierra Leone,Liberia,Botswana,"Congo, Rep.",Eritrea,"Congo, Dem. Rep.",Nigeria,Benin,Seychelles,OBS_VALUE,min,max
2000,25.7142857142857,7.69230769230769,12.1428571428571,5.55555555555556,11.1111111111111,14.4067796610169,0.0,1.98237885462555,,1.20481927710843,15.4545454545455,2.4,0.615384615384615,8.7719298245614,5.0,25.0,3.79746835443038,29.8245614035088,3.57142857142857,11.5384615384615,,3.79746835443038,4.93827160493827,9.32642487046632,30.0,,12.2448979591837,9.33333333333333,17.7935943060498,8.0,5.71428571428571,,,3.07692307692308,7.3394495412844,8.10810810810811,9.09090909090909,9.16666666666667,2.04081632653061,,,,10.126582278481,3.42105263157895,7.84313725490196,8.75,7.8125,17.0212765957447,12.0,14.6666666666667,,3.41880341880342,6.02409638554217,23.5294117647059,8.10810810810811,0.0,30.0
2001,25.6756756756757,7.6782449725777,16.6666666666667,5.55555555555556,11.1111111111111,14.4067796610169,0.0,2.42290748898678,9.72222222222222,1.20481927710843,15.4545454545455,2.4,0.615384615384615,8.7719298245614,5.0,25.0,3.79746835443038,29.8245614035088,3.57142857142857,11.5384615384615,22.2627737226277,,4.93827160493827,9.32642487046632,30.0,,12.2448979591837,10.0,24.6710526315789,8.0,5.71428571428571,,,3.07692307692308,7.3394495412844,8.10810810810811,9.09090909090909,9.16666666666667,2.04081632653061,8.52017937219731,,9.0,10.126582278481,3.42105263157895,7.84313725490196,8.75,7.8125,17.0212765957447,12.0,14.6666666666667,,3.41880341880342,6.02409638554217,23.5294117647059,8.7609649122807,0.0,30.0
2002,25.6756756756757,7.6782449725777,19.1666666666667,8.88888888888889,11.1111111111111,18.4357541899441,0.0,2.42290748898678,9.72222222222222,1.20481927710843,15.4545454545455,,10.7692307692308,,5.0,25.0,,29.8245614035088,3.57142857142857,11.5384615384615,22.2627737226277,,4.93827160493827,9.32642487046632,30.0,,10.2040816326531,10.0,24.6710526315789,,5.71428571428571,,,3.07692307692308,7.3394495412844,11.7117117117117,,9.2436974789916,5.66037735849057,8.52017937219731,,9.0,12.0253164556962,6.16966580976864,7.84313725490196,,7.8125,17.0212765957447,,22.0,,3.41880341880342,6.02409638554217,29.4117647058824,9.32642487046632,0.0,30.0
2003,48.75,7.6782449725777,19.1666666666667,8.88888888888889,11.1111111111111,18.4357541899441,10.7692307692308,2.42290748898678,9.72222222222222,1.20481927710843,15.4545454545455,5.80645161290323,10.7692307692308,19.2982456140351,5.0,26.3888888888889,11.6666666666667,29.8245614035088,7.14285714285714,11.5384615384615,21.3559322033898,3.7037037037037,7.40740740740741,9.32642487046632,30.0,,10.2040816326531,10.0,24.6710526315789,3.75,5.71428571428571,,,10.7692307692308,,11.7117117117117,9.09090909090909,9.2436974789916,13.2075471698113,8.52017937219731,,9.0,12.0253164556962,6.16966580976864,,14.5161290322581,7.8125,17.0212765957447,8.52713178294574,22.0,,4.72222222222222,6.02409638554217,29.4117647058824,10.2040816326531,1.20481927710843,48.75
2004,48.75,7.6782449725777,19.1666666666667,8.88888888888889,11.1111111111111,18.4357541899441,10.7692307692308,2.86343612334802,9.72222222222222,12.3893805309735,15.0,6.45161290322581,10.7692307692308,19.2982456140351,18.0,25.0,11.6666666666667,32.7787021630616,7.14285714285714,22.7513227513228,21.3559322033898,3.7037037037037,6.17283950617284,13.9896373056995,34.8,3.03030303030303,10.2040816326531,10.0,23.9344262295082,6.875,5.71428571428571,,,10.7692307692308,,11.7117117117117,9.09090909090909,9.2436974789916,13.2075471698113,8.52017937219731,,10.8695652173913,12.0253164556962,6.16966580976864,14.0,14.5161290322581,5.26315789473684,11.1111111111111,8.52713178294574,22.0,12.0,4.72222222222222,7.2289156626506,29.4117647058824,10.990338164251199,2.86343612334802,48.75
2005,48.75,21.4285714285714,19.1666666666667,8.88888888888889,11.1111111111111,30.5084745762712,10.7692307692308,1.98237885462555,14.6666666666667,12.3893805309735,15.0,6.45161290322581,10.7692307692308,19.2982456140351,18.0,26.9230769230769,11.6666666666667,32.75,7.14285714285714,22.7513227513228,30.4075235109718,,7.40740740740741,13.6125654450262,34.8,3.03030303030303,10.2040816326531,16.0,23.9344262295082,6.875,17.1428571428571,4.73684210526316,8.0,10.7692307692308,10.4761904761905,11.7117117117117,9.09090909090909,9.2436974789916,13.2075471698113,8.52017937219731,,10.8695652173913,12.6582278481013,6.16966580976864,14.0,14.5161290322581,12.5,11.1111111111111,8.52713178294574,22.0,12.0,6.38888888888889,7.2289156626506,29.4117647058824,11.85585585585585,1.98237885462555,48.75
2006,48.75,21.9281663516068,19.1666666666667,8.88888888888889,15.2777777777778,30.5084745762712,10.7692307692308,2.03619909502262,17.7777777777778,12.3893805309735,15.0,6.45161290322581,10.7692307692308,19.2982456140351,18.0,26.9230769230769,11.6666666666667,32.75,7.30593607305936,22.7513227513228,30.4075235109718,17.8947368421053,8.64197530864197,13.6125654450262,34.8,3.03030303030303,10.2040816326531,16.6666666666667,29.8192771084337,6.875,17.1428571428571,7.69230769230769,7.80669144981413,10.7692307692308,10.4761904761905,11.7117117117117,7.27272727272727,12.5,13.2075471698113,8.52017937219731,,10.8695652173913,14.6496815286624,6.16966580976864,14.0,14.5161290322581,12.5,11.1111111111111,8.52713178294574,22.0,8.4,6.11111111111111,7.2289156626506,29.4117647058824,12.5,2.03619909502262,48.75
2007,48.75,21.9281663516068,22.0,13.8888888888889,18.0555555555556,30.5084745762712,13.8461538461538,1.80995475113122,18.058690744921,12.3893805309735,15.0,5.16129032258065,10.4615384615385,19.2982456140351,18.0,26.9230769230769,23.5294117647059,33.0,7.2463768115942,22.7513227513228,30.4075235109718,22.1052631578947,11.1111111111111,12.9533678756477,34.8,3.03030303030303,10.2040816326531,16.0,30.7228915662651,7.8740157480315,17.1428571428571,7.69230769230769,8.203125,10.7692307692308,10.4761904761905,15.3153153153153,1.81818181818182,16.6666666666667,9.43396226415094,8.86699507389163,,10.8695652173913,15.1898734177215,7.7120822622108,14.0,13.2231404958678,12.5,11.1111111111111,7.2992700729927,22.0,8.4,6.98324022346369,10.8433734939759,23.5294117647059,13.8461538461538,1.80995475113122,48.75
2008,56.25,21.9281663516068,22.0,13.8888888888889,18.0555555555556,30.5084745762712,13.8461538461538,1.80995475113122,18.058690744921,12.3893805309735,37.2727272727273,5.16129032258065,10.4615384615385,,6.0,26.9230769230769,25.0,33.0,9.82142857142857,22.7513227513228,30.4075235109718,22.1052631578947,11.1111111111111,12.9533678756477,34.8,3.03030303030303,10.2040816326531,15.2380952380952,30.7228915662651,7.8740157480315,17.1428571428571,7.69230769230769,8.203125,13.8461538461538,10.4761904761905,15.3153153153153,7.27272727272727,16.6666666666667,9.43396226415094,8.86699507389163,,7.89473684210526,15.1898734177215,7.7120822622108,10.0,13.2231404958678,12.5,11.1111111111111,7.2992700729927,22.0,8.4,6.98324022346369,10.8433734939759,23.5294117647059,13.08825418575775,1.80995475113122,56.25
2009,56.25,21.9281663516068,22.6666666666667,13.8888888888889,18.0555555555556,31.3559322033898,13.8461538461538,1.76211453744493,18.9189189189189,9.73451327433628,38.6363636363636,5.16129032258065,10.4615384615385,,10.0,26.9230769230769,24.1666666666667,44.5,9.82142857142857,27.5700934579439,30.6501547987616,22.1052631578947,11.1111111111111,20.8333333333333,39.2,0.0,10.2040816326531,14.9532710280374,31.4814814814815,,17.1428571428571,7.69230769230769,6.86456400742115,13.6363636363636,9.61538461538462,15.3153153153153,7.27272727272727,14.6551724137931,7.54716981132075,8.86699507389163,,8.26086956521739,14.0127388535032,7.7120822622108,10.0,13.2231404958678,12.5,7.93650793650794,7.2992700729927,22.0,8.4,6.98324022346369,10.8433734939759,23.5294117647059,13.6363636363636,0.0,56.25
2010,56.25,27.7879341864717,22.6666666666667,13.8888888888889,18.0555555555556,32.0754716981132,13.8461538461538,12.6953125,25.5605381165919,,38.6363636363636,5.16129032258065,10.4615384615385,,10.0,24.3589743589744,24.1666666666667,44.5,9.82142857142857,27.5700934579439,,22.1052631578947,11.1111111111111,20.8333333333333,39.2,3.03030303030303,10.2040816326531,14.9532710280374,31.2883435582822,12.5,18.8405797101449,7.69230769230769,6.77655677655678,13.6363636363636,9.61538461538462,15.3153153153153,18.1818181818182,14.6551724137931,7.54716981132075,8.86699507389163,,8.26086956521739,14.0127388535032,7.7120822622108,10.0,13.2231404958678,12.5,7.93650793650794,7.2992700729927,22.0,8.4,6.98324022346369,10.8433734939759,23.5294117647059,13.7412587412587,3.03030303030303,56.25
2011,56.25,27.7879341864717,22.6666666666667,13.8888888888889,20.8333333333333,30.4761904761905,13.8461538461538,1.96850393700787,24.5762711864407,13.2743362831858,38.1818181818182,12.7659574468085,16.9620253164557,,10.0,24.3589743589744,24.1666666666667,42.25,9.82142857142857,26.7281105990783,36.0,22.1052631578947,11.1111111111111,22.279792746114,39.2,3.03030303030303,10.2040816326531,14.9532710280374,34.9740932642487,12.5,18.8405797101449,,6.77655677655678,13.6363636363636,12.5,15.3153153153153,18.1818181818182,14.1666666666667,7.54716981132075,11.0236220472441,26.5060240963855,8.26086956521739,11.4649681528662,7.96915167095116,10.0,12.9032258064516,9.58904109589041,7.93650793650794,7.2992700729927,22.0,,6.81818181818182,8.43373493975904,43.75,13.8888888888889,1.96850393700787,56.25
2012,56.25,27.7879341864717,42.6666666666667,13.8888888888889,20.8333333333333,30.4761904761905,13.8461538461538,1.96850393700787,24.5762711864407,13.2743362831858,34.0909090909091,14.8936170212766,16.9620253164557,,10.0,24.3589743589744,26.6666666666667,42.25,9.82142857142857,26.7281105990783,36.0,22.1052631578947,11.1111111111111,22.279792746114,39.2,3.03030303030303,10.2040816326531,14.9532710280374,34.9740932642487,17.4863387978142,18.8405797101449,16.5,13.8181818181818,13.6363636363636,12.5,15.748031496063,18.1818181818182,15.7894736842105,7.54716981132075,10.4417670682731,26.5060240963855,,11.4649681528662,31.6017316017316,14.0,12.396694214876,10.958904109589,7.93650793650794,7.35294117647059,22.0,8.94308943089431,6.66666666666667,8.43373493975904,43.75,15.76875259013675,1.96850393700787,56.25
2013,63.75,27.7879341864717,42.6666666666667,31.1111111111111,20.8333333333333,30.4761904761905,12.7272727272727,,24.5762711864407,13.2743362831858,34.0909090909091,14.8936170212766,16.9620253164557,,12.1212121212121,24.3589743589744,26.6666666666667,42.25,18.5714285714286,26.7281105990783,36.0,,15.3846153846154,22.279792746114,39.2,3.03030303030303,,31.4814814814815,34.9740932642487,17.4863387978142,18.8405797101449,16.5,13.8181818181818,6.15384615384615,,15.748031496063,18.1818181818182,15.7894736842105,7.54716981132075,10.4417670682731,26.5060240963855,10.9090909090909,11.4649681528662,31.6017316017316,14.0,12.396694214876,10.958904109589,7.93650793650794,7.35294117647059,22.0,8.94308943089431,6.66666666666667,8.43373493975904,43.75,17.4863387978142,3.03030303030303,63.75
2014,63.75,27.7879341864717,43.3333333333333,31.1111111111111,20.8333333333333,30.4761904761905,12.7272727272727,,24.2937853107345,13.2743362831858,36.8181818181818,14.8936170212766,16.9620253164557,21.9298245614035,24.0,,26.6666666666667,41.5,19.1428571428571,31.3364055299539,36.0,25.1700680272109,17.5824175824176,16.6666666666667,,3.03030303030303,9.52380952380952,31.4814814814815,34.9740932642487,20.5298013245033,18.8405797101449,15.9574468085106,13.8181818181818,6.15384615384615,,,18.1818181818182,15.0,9.43396226415094,9.44881889763779,26.5060240963855,10.9090909090909,10.7594936708861,31.6017316017316,13.7254901960784,12.0967741935484,10.958904109589,9.52380952380952,7.35294117647059,22.0,10.6425702811245,6.66666666666667,8.43373493975904,43.75,18.1818181818182,3.03030303030303,63.75
2015,63.75,38.7568555758684,42.6666666666667,31.1111111111111,20.8333333333333,36.3636363636364,12.7272727272727,,30.5164319248826,13.2743362831858,36.8181818181818,14.8936170212766,16.9620253164557,21.9298245614035,24.0,41.3461538461538,25.0,42.0,19.7142857142857,31.3364055299539,36.0,25.1700680272109,17.5824175824176,16.6666666666667,39.6,3.03030303030303,8.84353741496599,31.4814814814815,34.9740932642487,20.5298013245033,11.5942028985507,15.9574468085106,13.8181818181818,6.15384615384615,,9.44881889763779,18.1818181818182,14.1666666666667,9.43396226415094,9.16334661354582,26.5060240963855,10.9090909090909,12.6582278481013,31.6017316017316,13.7254901960784,12.396694214876,10.958904109589,9.52380952380952,7.35294117647059,22.0,8.94308943089431,5.55555555555556,7.2289156626506,43.75,17.882117882117903,3.03030303030303,63.75
2016,63.75,38.7568555758684,42.6666666666667,31.1111111111111,23.6111111111111,36.3636363636364,12.7272727272727,14.9328859060403,30.5164319248826,14.6198830409357,36.8181818181818,14.8936170212766,20.5063291139241,21.9298245614035,24.0,41.3461538461538,25.0,42.0,19.7142857142857,31.3364055299539,36.5591397849462,25.1700680272109,17.5824175824176,16.6666666666667,39.6,3.03030303030303,8.84353741496599,31.4814814814815,33.4894613583138,20.5298013245033,11.5942028985507,15.9574468085106,,6.15384615384615,7.19424460431655,9.44881889763779,18.1818181818182,14.1666666666667,9.43396226415094,9.16334661354582,28.4595300261097,10.9090909090909,17.9640718562874,31.6017316017316,13.7254901960784,12.396694214876,10.958904109589,9.52380952380952,7.35294117647059,22.0,8.94308943089431,5.55555555555556,7.2289156626506,21.2121212121212,18.1818181818182,3.03030303030303,63.75
2017,61.25,38.7568555758684,41.8181818181818,31.1111111111111,23.6111111111111,36.3636363636364,10.7692307692308,14.9328859060403,30.5164319248826,16.9590643274854,30.4545454545455,12.7659574468085,20.5063291139241,21.9298245614035,,41.3461538461538,22.1311475409836,41.8367346938776,21.7765042979943,31.3364055299539,37.1794871794872,25.1700680272109,17.5824175824176,16.6666666666667,39.6,6.06060606060606,8.84353741496599,32.5757575757576,34.2984409799555,19.205298013245,11.5942028985507,15.9574468085106,24.3636363636364,6.15384615384615,8.57142857142857,11.0236220472441,18.1818181818182,17.0940170940171,10.3448275862069,10.5882352941176,28.4595300261097,12.7272727272727,17.9640718562874,25.7575757575758,13.7254901960784,12.396694214876,9.85915492957746,9.52380952380952,11.2582781456954,22.0,8.94308943089431,5.55555555555556,7.2289156626506,21.2121212121212,18.1818181818182,5.55555555555556,61.25
2018,61.25,38.7568555758684,41.8181818181818,31.1111111111111,23.6111111111111,36.3636363636364,26.1538461538462,14.9328859060403,30.5164319248826,16.9590643274854,30.4545454545455,15.2542372881356,20.5063291139241,21.9298245614035,20.0,46.1538461538462,22.1311475409836,42.7480916030534,21.7765042979943,31.3364055299539,37.1794871794872,20.2614379084967,17.5824175824176,16.6666666666667,39.6,6.06060606060606,8.84353741496599,31.4814814814815,34.2984409799555,19.205298013245,11.5942028985507,15.9574468085106,24.3636363636364,7.2463768115942,8.57142857142857,11.0236220472441,14.5454545454545,,10.3448275862069,10.5882352941176,28.4595300261097,12.7272727272727,17.9640718562874,25.7575757575758,13.7254901960784,12.3287671232877,12.3287671232877,9.52380952380952,11.2582781456954,22.0,8.94308943089431,5.55555555555556,7.2289156626506,21.2121212121212,20.0,5.55555555555556,61.25
2019,61.25,38.7568555758684,41.8181818181818,31.1111111111111,23.6111111111111,36.3636363636364,26.1538461538462,14.9328859060403,,16.9590643274854,30.0,14.8809523809524,20.5063291139241,22.8070175438596,21.0,42.7083333333333,23.3333333333333,46.3476070528967,21.7765042979943,22.5806451612903,36.8956743002545,20.2614379084967,16.4835164835165,22.9166666666667,41.2,6.06060606060606,9.52380952380952,31.8518518518519,34.8583877995643,15.8940397350993,20.0,15.9574468085106,24.3636363636364,7.2463768115942,8.57142857142857,13.3858267716535,14.5454545454545,17.910447761194,10.3448275862069,10.9803921568627,28.4595300261097,13.0909090909091,17.9640718562874,25.7575757575758,13.7254901960784,12.3287671232877,12.3287671232877,10.7692307692308,11.2582781456954,22.0,10.0,3.38028169014084,7.2289156626506,21.2121212121212,20.2614379084967,3.38028169014084,61.25
2020,61.25,38.7568555758684,43.030303030303,33.8888888888889,25.0,38.2113821138211,26.1538461538462,27.4111675126904,,16.9590643274854,30.0,15.4320987654321,20.5063291139241,16.6666666666667,21.0,43.2692307692308,23.3333333333333,46.75,21.7765042979943,24.8847926267281,36.71875,20.2614379084967,18.6813186813187,22.9166666666667,42.4,16.6666666666667,27.891156462585,31.8518518518519,34.8583877995643,17.8807947019868,20.0,15.9574468085106,24.3636363636364,9.58904109589041,8.57142857142857,6.2992125984252,23.6363636363636,14.7887323943662,8.62068965517241,11.3725490196078,28.4595300261097,13.0909090909091,16.7664670658683,25.7575757575758,13.7254901960784,12.3287671232877,12.3287671232877,10.7692307692308,11.2582781456954,,12.8,7.22222222222222,7.2289156626506,24.2424242424242,20.753164556962048,6.2992125984252,61.25
2021,61.25,42.5882352941177,43.030303030303,33.8888888888889,38.8888888888889,38.2113821138211,26.1538461538462,27.7027027027027,,25.9036144578313,29.5454545454545,32.258064516129,22.7848101265823,,23.0,44.2307692307692,23.3333333333333,46.5822784810127,21.6138328530259,26.2672811059908,36.8556701030928,20.2614379084967,18.6813186813187,22.9166666666667,42.4,16.6666666666667,27.2727272727273,31.8518518518519,33.8129496402878,17.8807947019868,20.0,15.9574468085106,24.3636363636364,9.58904109589041,12.8571428571429,6.2992125984252,23.6363636363636,16.1971830985916,8.62068965517241,14.1732283464567,32.3636363636364,14.5454545454545,15.0602409638554,8.10810810810811,13.7254901960784,12.3287671232877,10.958904109589,10.7692307692308,11.2582781456954,,12.8,3.61111111111111,8.43373493975904,22.8571428571429,22.8571428571429,3.61111111111111,61.25
2022,61.25,41.4893617021277,44.2424242424242,33.8888888888889,38.8888888888889,38.2113821138211,26.1538461538462,27.580372250423,,25.9036144578313,33.6363636363636,25.8883248730964,24.0506329113924,29.6296296296296,31.0,44.2307692307692,26.4462809917355,46.5,23.4285714285714,26.2672811059908,36.8556701030928,20.2614379084967,18.6813186813187,22.9166666666667,42.4,16.6666666666667,28.5714285714286,30.5660377358491,33.8129496402878,18.5430463576159,20.0,16.4705882352941,19.7080291970803,13.5135135135135,12.8571428571429,16.9014084507042,14.5454545454545,15.3846153846154,8.62068965517241,14.1732283464567,32.3636363636364,14.5454545454545,15.0602409638554,8.10810810810811,13.7254901960784,12.3287671232877,10.958904109589,11.1111111111111,14.5695364238411,,12.8,3.61111111111111,7.40740740740741,22.8571428571429,22.886904761904802,3.61111111111111,61.25
